Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais,Duplicado de
Clinica Multidisciplinar Menthalhelp,Saúde,Clínica,Guarulhos,Vila Tijuco,"Clinica Multidisciplinar Menthalhelp Ltda, 122, Vila Tijuco, Guarulhos, Sp",(11) 2451-5695,,reginnapsico@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Multidisciplinar+Menthalhelp+CLINICA+MULTIDISCIPLINAR+MENTHALHELP+LTDA%2C+122%2C+VILA+TIJUCO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802926822; CNES 2926822; CNPJ 39676660000203; site oficial/redes não coletados nesta fonte,Clinica Multidisciplinar Menthalhelp
Clinica Odontologica Monte Verde,Saúde,Clínica,Guarulhos,Centro,"Clinica Odontologica Monte Verde S S Ltda, 235, Centro, Guarulhos, Sp",24689903,,clinicamonteverde@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Odontologica+Monte+Verde+CLINICA+ODONTOLOGICA+MONTE+VERDE+S+S+LTDA%2C+235%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805275334; CNES 5275334; CNPJ 04068272000184; site oficial/redes não coletados nesta fonte,Clinica Odontologica Monte Verde
Clinica Onix,Saúde,Clínica,Guarulhos,Jardim Santa Vicenci,"Clinica Onix Posto De Coleta Ltda Cnpj 42310016000140, 41, Jardim Santa Vicenci, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Onix+CLINICA+ONIX+POSTO+DE+COLETA+LTDA+CNPJ+42310016000140%2C+41%2C+JARDIM+SANTA+VICENCI%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518801062719; CNES 1062719; CNPJ -; site oficial/redes não coletados nesta fonte,Clinica Onix
Clinica Passos,Saúde,Clínica,Guarulhos,Jd Carvalho,"Clinica Passos Ltda Me, 229, Jd Carvalho, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Passos+CLINICA+PASSOS+LTDA+ME%2C+229%2C+JD+CARVALHO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807873107; CNES 7873107; CNPJ 08901541000100; site oficial/redes não coletados nesta fonte,Clinica Passos
Clinica Start Diagnosticos,Saúde,Clínica,Guarulhos,Jardim Sao Joao,"Chirley Doralice De Oliveira, 577, Jardim Sao Joao, Guarulhos, Sp",(11) 98402-8158,(11) 98402-8158,chirleyoiliveira443@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Start+Diagnosticos+CHIRLEY+DORALICE+DE+OLIVEIRA%2C+577%2C+JARDIM+SAO+JOAO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804493192; CNES 4493192; CNPJ 46246341000142; site oficial/redes não coletados nesta fonte,Clinica Start Diagnosticos
Consultorio Odontologico Grazziele Rodrigues,Saúde,Clínica,Guarulhos,Taboao,"Consultorio Odontologico Grazziele Rodr Cnpj 46110956000147, 64, Taboao, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Consultorio+Odontologico+Grazziele+Rodrigues+CONSULTORIO+ODONTOLOGICO+GRAZZIELE+RODR+CNPJ+46110956000147%2C+64%2C+TABOAO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518801070991; CNES 1070991; CNPJ -; site oficial/redes não coletados nesta fonte,Consultorio Odontologico Grazziele Rodrigues
Cury Radiologia,Saúde,Clínica,Guarulhos,Jardim Santa Francis,"Cury Radiologia E Documentacao Odontologica Ltda, 564, Jardim Santa Francis, Guarulhos, Sp",(11) 2408-1155,,cury@curyradiologia.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cury+Radiologia+CURY+RADIOLOGIA+E+DOCUMENTACAO+ODONTOLOGICA+LTDA%2C+564%2C+JARDIM+SANTA+FRANCIS%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518803250075; CNES 3250075; CNPJ 01114417000148; site oficial/redes não coletados nesta fonte,Cury Radiologia
Cury Radiologia,Saúde,Clínica,Guarulhos,Parque Jurema,"Cury Radiologia E Documentacao Odontologica Ltda, 774, Parque Jurema, Guarulhos, Sp",(11) 2408-1155,,cury@curyradiologia.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cury+Radiologia+CURY+RADIOLOGIA+E+DOCUMENTACAO+ODONTOLOGICA+LTDA%2C+774%2C+PARQUE+JUREMA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800279374; CNES 0279374; CNPJ 01114417000300; site oficial/redes não coletados nesta fonte,Cury Radiologia
Cury Radiologia,Saúde,Clínica,Guarulhos,Centro,"Cury Radiologia E Documentacao Odontologica Ltda, 100, Centro, Guarulhos, Sp",(11) 2408-1155,,cury@curyradiologia.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cury+Radiologia+CURY+RADIOLOGIA+E+DOCUMENTACAO+ODONTOLOGICA+LTDA%2C+100%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518803785912; CNES 3785912; CNPJ 01114417000229; site oficial/redes não coletados nesta fonte,Cury Radiologia
Dr Consulta Centro Medico,Saúde,Clínica,Guarulhos,Vila Endres,"Dr Consulta Centro Medico Ltda, 295, Vila Endres, Guarulhos, Sp",(11) 4118-1510,,regulatorio@drconsulta.com,,,,,https://www.google.com/maps/search/?api=1&query=Dr+Consulta+Centro+Medico+DR+CONSULTA+CENTRO+MEDICO+LTDA%2C+295%2C+VILA+ENDRES%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518809699104; CNES 9699104; CNPJ 14245016005138; site oficial/redes não coletados nesta fonte,Dr Consulta Centro Medico
Excelencia Medicina Diagnostica Ltda,Saúde,Clínica,Guarulhos,Vila Moreira,"Excelencia Medicina Diagnostica Ltda Cnpj 43964621000106, 93, Vila Moreira, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Excelencia+Medicina+Diagnostica+Ltda+EXCELENCIA+MEDICINA+DIAGNOSTICA+LTDA+CNPJ+43964621000106%2C+93%2C+VILA+MOREIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518801075985; CNES 1075985; CNPJ -; site oficial/redes não coletados nesta fonte,Excelencia Medicina Diagnostica Ltda
Hemocentro Sao Lucas,Saúde,Clínica,Guarulhos,Centro,"Sao Lucas Hemoterapia E Hematologia Ss Ltda, 100, Centro, Guarulhos, Sp",(11) 3660-6000,,flavia.oliveira@hemocentrosaolucas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Hemocentro+Sao+Lucas+SAO+LUCAS+HEMOTERAPIA+E+HEMATOLOGIA+SS+LTDA%2C+100%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802718022; CNES 2718022; CNPJ 00092633002463; site oficial/redes não coletados nesta fonte,Hemocentro Sao Lucas
Hemocentro Sao Lucas,Saúde,Clínica,Guarulhos,Vila Sao Jorge,"Sao Lucas Hemoterapia E Hematologia Ss Ltda, 566, Vila Sao Jorge, Guarulhos, Sp",36606000,,flavia.oliveira@hemocentrosaolucas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Hemocentro+Sao+Lucas+SAO+LUCAS+HEMOTERAPIA+E+HEMATOLOGIA+SS+LTDA%2C+566%2C+VILA+SAO+JORGE%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805561116; CNES 5561116; CNPJ 00092633003516; site oficial/redes não coletados nesta fonte,Hemocentro Sao Lucas
Hemocentro Sao Lucas,Saúde,Clínica,Guarulhos,Macedo,"Sao Lucas Hemoterapia E Hematologia Ss Ltda, 654, Macedo, Guarulhos, Sp",(11) 3660-6000,,flavia.oliveira@hemocentrosaolucas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Hemocentro+Sao+Lucas+SAO+LUCAS+HEMOTERAPIA+E+HEMATOLOGIA+SS+LTDA%2C+654%2C+MACEDO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807422636; CNES 7422636; CNPJ 00092633001068; site oficial/redes não coletados nesta fonte,Hemocentro Sao Lucas
Hospital Carlos Chagas,Saúde,Hospital,Guarulhos,Centro,"Amico Saude Ltda, 100, Centro, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Carlos+Chagas+AMICO+SAUDE+LTDA%2C+100%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802081628; CNES 2081628; CNPJ 51722957015619; site oficial/redes não coletados nesta fonte,Hospital Carlos Chagas
Hospital Maternidade Jesus Jose E Maria,Saúde,Maternidade,Guarulhos,Parque Renato Maia,"Associacao Beneficente Jesus Jose E Maria, 1337, Parque Renato Maia, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Maternidade+Jesus+Jose+E+Maria+ASSOCIACAO+BENEFICENTE+JESUS+JOSE+E+MARIA%2C+1337%2C+PARQUE+RENATO+MAIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802040069; CNES 2040069; CNPJ 43987668000187; site oficial/redes não coletados nesta fonte,Hospital Maternidade Jesus José e Maria
Hospital Stella Maris,Saúde,Hospital,Guarulhos,Itapegica,"Congregacao Das Filhas De N Senhora Stela Maris, 568, Itapegica, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Stella+Maris+CONGREGACAO+DAS+FILHAS+DE+N+SENHORA+STELA+MARIS%2C+568%2C+ITAPEGICA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802078155; CNES 2078155; CNPJ 49052533000106; site oficial/redes não coletados nesta fonte,Hospital Stella Maris
Kato Odontologia,Saúde,Clínica,Guarulhos,Vila Galvao,"Requinte Odontologia Ss Ltda, 299, Vila Galvao, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Kato+Odontologia+REQUINTE+ODONTOLOGIA+SS+LTDA%2C+299%2C+VILA+GALVAO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518806711170; CNES 6711170; CNPJ 11313672000173; site oficial/redes não coletados nesta fonte,Kato Odontologia
Laboratorio Deliberato,Saúde,Clínica,Guarulhos,Centro,"Laboratorio Deliberato De Analises Clinicas Ltda, 267, Centro, Guarulhos, Sp",(11) 2229-5093,,sup_guarulhos@deliberato.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Deliberato+LABORATORIO+DELIBERATO+DE+ANALISES+CLINICAS+LTDA%2C+267%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518806910262; CNES 6910262; CNPJ 51363620000983; site oficial/redes não coletados nesta fonte,Laboratorio Deliberato
Mais Fisio,Saúde,Clínica,Guarulhos,Vila Progresso,"Amor Fisio Fisioterapia E Acupuntura Ltda, 82, Vila Progresso, Guarulhos, Sp",(11) 2431-0586,,contato@contabilcarlosrocha.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Mais+Fisio+AMOR+FISIO+FISIOTERAPIA+E+ACUPUNTURA+LTDA%2C+82%2C+VILA+PROGRESSO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800533742; CNES 0533742; CNPJ 35178470000205; site oficial/redes não coletados nesta fonte,Mais Fisio
Mais Fisio,Saúde,Clínica,Guarulhos,Parque Das Nacoes,"Amor Fisio Fisioterapia E Acupuntura Ltda, 56, Parque Das Nacoes, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Mais+Fisio+AMOR+FISIO+FISIOTERAPIA+E+ACUPUNTURA+LTDA%2C+56%2C+PARQUE+DAS+NACOES%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518809980938; CNES 9980938; CNPJ 35178470000124; site oficial/redes não coletados nesta fonte,Mais Fisio
Med Tour Saude,Saúde,Clínica,Guarulhos,Vila Lanzara,"Med Tour Administradora De Beneficios E Empreendimentos Ltda, 83, Vila Lanzara, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Med+Tour+Saude+MED+TOUR+ADMINISTRADORA+DE+BENEFICIOS+E+EMPREENDIMENTOS+LTDA%2C+83%2C+VILA+LANZARA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804318188; CNES 4318188; CNPJ 00453863000114; site oficial/redes não coletados nesta fonte,Med Tour Saude
Hni Consultorio De Odontologia,Saúde,Clínica,Guarulhos,Cidade Soimco,"Hni Consultorio De Odontologia Ltda, 489, Cidade Soimco, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hni+Consultorio+De+Odontologia+HNI+CONSULTORIO+DE+ODONTOLOGIA+LTDA%2C+489%2C+CIDADE+SOIMCO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804795636; CNES 4795636; CNPJ 46692619000296; site oficial/redes não coletados nesta fonte,Hni Consultorio De Odontologia
Odontoclinic,Saúde,Clínica,Guarulhos,Vila Florida,"Rmg Clinica De Servicos Odontologicos Ltda Epp, 277, Vila Florida, Guarulhos, Sp",(11) 2405-4355,,odontologia.mori@ig.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Odontoclinic+RMG+CLINICA+DE+SERVICOS+ODONTOLOGICOS+LTDA+EPP%2C+277%2C+VILA+FLORIDA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807422679; CNES 7422679; CNPJ 16103628000152; site oficial/redes não coletados nesta fonte,Odontoclinic
Oftalmomed Clinica De Olhos,Saúde,Clínica,Guarulhos,Centro,"Oftalmomed Clinica De Olhos Ltda Epp, 155, Centro, Guarulhos, Sp",(11) 2441-1929,,oftalmomed@terra.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Oftalmomed+Clinica+De+Olhos+OFTALMOMED+CLINICA+DE+OLHOS+LTDA+EPP%2C+155%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518806828183; CNES 6828183; CNPJ 53282893001224; site oficial/redes não coletados nesta fonte,Oftalmomed Clinica De Olhos
Ortholife Sorrisodonto,Saúde,Clínica,Guarulhos,Vila Carmela I,"Clinica Odontologica Costa E Souza Ltda Me, 441, Vila Carmela I, Guarulhos, Sp",(11) 2439-8312,,,,,,,https://www.google.com/maps/search/?api=1&query=Ortholife+Sorrisodonto+CLINICA+ODONTOLOGICA+COSTA+E+SOUZA+LTDA+ME%2C+441%2C+VILA+CARMELA+I%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,45,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518809332138; CNES 9332138; CNPJ 26552981000173; site oficial/redes não coletados nesta fonte,Ortholife Sorrisodonto
Ortholife Sorrisodonto,Saúde,Clínica,Guarulhos,Cidade Parque Alvora,"Clinica Odontologica Sorrisodonto Ltda, 1808, Cidade Parque Alvora, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Ortholife+Sorrisodonto+CLINICA+ODONTOLOGICA+SORRISODONTO+LTDA%2C+1808%2C+CIDADE+PARQUE+ALVORA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800652385; CNES 0652385; CNPJ 36546975000167; site oficial/redes não coletados nesta fonte,Ortholife Sorrisodonto
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Jardim Albertina,"Laboratorio De Analises Clinicas Sanitas Ltda, 4330, Jardim Albertina, Guarulhos, Sp",(11) 2472-5122,,financeiro@laboratoriosanitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+LTDA%2C+4330%2C+JARDIM+ALBERTINA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804596374; CNES 4596374; CNPJ 49093024000989; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Jardim Sao Paulo,"Laboratorio De Analises Clinicas Sanitas Eireli, 596, Jardim Sao Paulo, Guarulhos, Sp",(11) 2472-5127,,qualidade@laboratoriosanitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+EIRELI%2C+596%2C+JARDIM+SAO+PAULO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802718464; CNES 2718464; CNPJ 49093024000121; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Vila Lanzara,"Laboratorio De Analises Clinicas Sanitas Eireli, 83, Vila Lanzara, Guarulhos, Sp",(11) 2472-5148,,sac@latoratoriosanitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+EIRELI%2C+83%2C+VILA+LANZARA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807896034; CNES 7896034; CNPJ 49093024000555; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Vila Zaira,"Laboratorio De Analises Clinicas Sanitas Eireli, 339, Vila Zaira, Guarulhos, Sp",(11) 2472-5148,,sac@laboratoriosanitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+EIRELI%2C+339%2C+VILA+ZAIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807006101; CNES 7006101; CNPJ 49093024000202; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Jardim Zaira,"Laboratorio De Analises Clinicas Sanitas Eireli, 25, Jardim Zaira, Guarulhos, Sp",(11) 2472-5148,,qualidade@laboratoriosnaitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+EIRELI%2C+25%2C+JARDIM+ZAIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802884976; CNES 2884976; CNPJ 49093024000717; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Unico Clinica Medica E Multidisciplinar Integrada,Saúde,Clínica,Guarulhos,Jardim Zaira,"Unico Clinica Medica E Multidisciplinar Integrada Ltda, 59, Jardim Zaira, Guarulhos, Sp",(11) 3473-0280,,recepcao@unicomedicina.com,,,,,https://www.google.com/maps/search/?api=1&query=Unico+Clinica+Medica+E+Multidisciplinar+Integrada+UNICO+CLINICA+MEDICA+E+MULTIDISCIPLINAR+INTEGRADA+LTDA%2C+59%2C+JARDIM+ZAIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805956382; CNES 5956382; CNPJ 48365115000963; site oficial/redes não coletados nesta fonte,Unico Clinica Medica E Multidisciplinar Integrada
Unico Clinica Medica E Multidisciplinar Integrada,Saúde,Clínica,Guarulhos,Cidade Maia,"Unico Clinica Medica E Multidisciplinar Integrada Ltda, 636, Cidade Maia, Guarulhos, Sp",(11) 3473-0280,,recepcao@unicomedicina.com,,,,,https://www.google.com/maps/search/?api=1&query=Unico+Clinica+Medica+E+Multidisciplinar+Integrada+UNICO+CLINICA+MEDICA+E+MULTIDISCIPLINAR+INTEGRADA+LTDA%2C+636%2C+CIDADE+MAIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805956374; CNES 5956374; CNPJ 48365115001188; site oficial/redes não coletados nesta fonte,Unico Clinica Medica E Multidisciplinar Integrada
Unico Clinica Medica E Multidisciplinar Integrada,Saúde,Clínica,Guarulhos,Centro,"Unico Clinica Medica E Multidisciplinar Integrada Ltda, 188, Centro, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Unico+Clinica+Medica+E+Multidisciplinar+Integrada+UNICO+CLINICA+MEDICA+E+MULTIDISCIPLINAR+INTEGRADA+LTDA%2C+188%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804852109; CNES 4852109; CNPJ 48365115000530; site oficial/redes não coletados nesta fonte,Unico Clinica Medica E Multidisciplinar Integrada
Plenna Vacinas E Diagnosticos Ltda,Saúde,Clínica,Guarulhos,Centro,"Plenna Vacinas E Diagnosticos Ltda, 159, Centro, Guarulhos, Sp",(11) 3631-7299,,biomedica@plennalab.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Plenna+Vacinas+E+Diagnosticos+Ltda+PLENNA+VACINAS+E+DIAGNOSTICOS+LTDA%2C+159%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802899868; CNES 2899868; CNPJ 41143259000250; site oficial/redes não coletados nesta fonte,Plenna Vacinas E Diagnosticos Ltda
Wdellos Odontologia,Saúde,Clínica,Guarulhos,Jardim Presidente Du,"Dellos Odontologia Ltda, 3680, Jardim Presidente Du, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Wdellos+Odontologia+DELLOS+ODONTOLOGIA+LTDA%2C+3680%2C+JARDIM+PRESIDENTE+DU%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800499749; CNES 0499749; CNPJ 08042306000201; site oficial/redes não coletados nesta fonte,Wdellos Odontologia
Wdellos Odontologia,Saúde,Clínica,Guarulhos,Cumbica,"Dellos Odontologia Ltda, 310, Cumbica, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Wdellos+Odontologia+DELLOS+ODONTOLOGIA+LTDA%2C+310%2C+CUMBICA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800462500; CNES 0462500; CNPJ 08042306000546; site oficial/redes não coletados nesta fonte,Wdellos Odontologia
Wdellos Odontologia,Saúde,Clínica,Guarulhos,Jardim Kawamoto,"Dellos Odontologia Ltda, 32, Jardim Kawamoto, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Wdellos+Odontologia+DELLOS+ODONTOLOGIA+LTDA%2C+32%2C+JARDIM+KAWAMOTO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518809948309; CNES 9948309; CNPJ 08042306000112; site oficial/redes não coletados nesta fonte,Wdellos Odontologia
