Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais
Godoi Cintra Clinica De Servicos Medicos Ltda Epp,Saúde,Clínica,Mogi das Cruzes,Centro,"Godoi Cintra Clinica De Servicos Medicos Ltda, 335, Centro, Mogi Das Cruzes, Sp",(11) 2629-0201,,clinicagodoicintra@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Godoi+Cintra+Clinica+De+Servicos+Medicos+Ltda+Epp+GODOI+CINTRA+CLINICA+DE+SERVICOS+MEDICOS+LTDA%2C+335%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609064389; CNES 9064389; CNPJ 15640409000140; site oficial/redes não coletados nesta fonte
Halika Clinica Psicologica,Saúde,Clínica,Mogi das Cruzes,Centro,"Halik Clinica De Especialidades Sociedade Unipessoal Limitad, 580, Centro, Mogi Das Cruzes, Sp",(11) 2668-8347,,objetivocomercial@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Halika+Clinica+Psicologica+HALIK+CLINICA+DE+ESPECIALIDADES+SOCIEDADE+UNIPESSOAL+LIMITAD%2C+580%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530606908462; CNES 6908462; CNPJ 14607496000170; site oficial/redes não coletados nesta fonte
Hikari Clinica,Saúde,Clínica,Mogi das Cruzes,Centro,"Hikari Clinica Interdisciplinar Ltda, 636, Centro, Mogi Das Cruzes, Sp",(11) 7952-0507,,thiemynaniwa@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Hikari+Clinica+HIKARI+CLINICA+INTERDISCIPLINAR+LTDA%2C+636%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604766350; CNES 4766350; CNPJ 55202629000106; site oficial/redes não coletados nesta fonte
Integrar Psicologia E Saude,Saúde,Clínica,Mogi das Cruzes,Centro,"R R Integrar Psicologia E Saude Ltda, 53, Centro, Mogi Das Cruzes, Sp",(11) 4726-2866,,contato@sjsolucoescontabeis.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Integrar+Psicologia+E+Saude+R+R+INTEGRAR+PSICOLOGIA+E+SAUDE+LTDA%2C+53%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609685863; CNES 9685863; CNPJ 31810209000144; site oficial/redes não coletados nesta fonte; Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603739899; CNES 3739899; CNPJ 31810209000225; site oficial/redes não coletados nesta fonte
Integracta Clinica Medica E Psicologica De Saude Ltda Ep,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"Integracta Clinica Medica E Psicologica De Saude Ltda Ep, 120, Parque Monte Libano, Mogi Das Cruzes, Sp",47263352,,integracta@integracta.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Integracta+Clinica+Medica+E+Psicologica+De+Saude+Ltda+Ep+INTEGRACTA+CLINICA+MEDICA+E+PSICOLOGICA+DE+SAUDE+LTDA+EP%2C+120%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609136479; CNES 9136479; CNPJ 23569662000182; site oficial/redes não coletados nesta fonte
Iofem Instituto Oftalmologico Edson Miyake Ltda,Saúde,Clínica,Mogi das Cruzes,Jardim Santista,"Iofem Instituto Oftalmologico Edson Miyake Ltda, 330, Jardim Santista, Mogi Das Cruzes, Sp",(11) 4721-3733,,iofem@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Iofem+Instituto+Oftalmologico+Edson+Miyake+Ltda+IOFEM+INSTITUTO+OFTALMOLOGICO+EDSON+MIYAKE+LTDA%2C+330%2C+JARDIM+SANTISTA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603273806; CNES 3273806; CNPJ 03845759000163; site oficial/redes não coletados nesta fonte
Jc Psicologia,Saúde,Clínica,Mogi das Cruzes,Vila Oliveira,"Jc Psicologia Aplicada Ltda Me, 46, Vila Oliveira, Mogi Das Cruzes, Sp",47254888,,carlapsico4@bol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Jc+Psicologia+JC+PSICOLOGIA+APLICADA+LTDA+ME%2C+46%2C+VILA+OLIVEIRA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607953992; CNES 7953992; CNPJ 09524651000155; site oficial/redes não coletados nesta fonte
Kad Clinica Dermatologica Ltda,Saúde,Clínica,Mogi das Cruzes,Pq Monte Libano,"Kad Clinica Dermatologica Ltda, 80, Pq Monte Libano, Mogi Das Cruzes, Sp",(11) 4798-3129,,contato@katiadaga.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Kad+Clinica+Dermatologica+Ltda+KAD+CLINICA+DERMATOLOGICA+LTDA%2C+80%2C+PQ+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607254946; CNES 7254946; CNPJ 13445694000112; site oficial/redes não coletados nesta fonte
Laboratorio Central,Saúde,Clínica,Mogi das Cruzes,Parque Santana,"Emerson Tomaz Da Costa, 280, Parque Santana, Mogi Das Cruzes, Sp",47233845,,emerson.central@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Central+EMERSON+TOMAZ+DA+COSTA%2C+280%2C+PARQUE+SANTANA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607776500; CNES 7776500; CNPJ 12060714000174; site oficial/redes não coletados nesta fonte
Laboratorio Deliberato,Saúde,Clínica,Mogi das Cruzes,Centro,"Diagnosticos Da America S A, 248, Centro, Mogi Das Cruzes, Sp",(11) 2630-3000,,tributario@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Deliberato+DIAGNOSTICOS+DA+AMERICA+S+A%2C+248%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609443452; CNES 9443452; CNPJ 61486650136328; site oficial/redes não coletados nesta fonte
Laboratorio Deliberato Mogi Ii,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"Laboratorio Deliberato De Analises Clinicas Ltda, 646, Parque Monte Libano, Mogi Das Cruzes, Sp",(11) 4646-7440,,laboratorio@deliberato.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Deliberato+Mogi+Ii+LABORATORIO+DELIBERATO+DE+ANALISES+CLINICAS+LTDA%2C+646%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609364579; CNES 9364579; CNPJ 51363620001106; site oficial/redes não coletados nesta fonte
Laboratorio Medico De Patologia Clinica Eissei,Saúde,Clínica,Mogi das Cruzes,Jad Santista,"Laboratorio Medico De Patologia Clinica Eissei Sc Ltda, 195, Jad Santista, Mogi Das Cruzes, Sp",(11) 4724-7004,,eissei@eissei.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Medico+De+Patologia+Clinica+Eissei+LABORATORIO+MEDICO+DE+PATOLOGIA+CLINICA+EISSEI+SC+LTDA%2C+195%2C+JAD+SANTISTA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602785021; CNES 2785021; CNPJ 51362358000103; site oficial/redes não coletados nesta fonte
Laboratorio Municipal De Mogi Das Cruzes,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"Prefeitura Municipal De Mogi Das Cruzes, 272, Parque Monte Libano, Mogi Das Cruzes, Sp",47935610,,cejam@cejam.org.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Municipal+De+Mogi+Das+Cruzes+PREFEITURA+MUNICIPAL+DE+MOGI+DAS+CRUZES%2C+272%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607559461; CNES 7559461; CNPJ -; site oficial/redes não coletados nesta fonte
Laj Medicina Do Trafego,Saúde,Clínica,Mogi das Cruzes,Centro,"Laj Medicina Do Trafego, 259, Centro, Mogi Das Cruzes, Sp",(11) 3565-2350,,emcassessoria@emcassessoria.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laj+Medicina+Do+Trafego+LAJ+MEDICINA+DO+TRAFEGO%2C+259%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609856145; CNES 9856145; CNPJ 27994327000182; site oficial/redes não coletados nesta fonte
Landre Clinique Medicina E Bem Estar,Saúde,Clínica,Mogi das Cruzes,Centro Civico,"Costa Landre Servicos Medicos Ltda, 1145, Centro Civico, Mogi Das Cruzes, Sp",(11) 3375-0349,,acc@acc.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Landre+Clinique+Medicina+E+Bem+Estar+COSTA+LANDRE+SERVICOS+MEDICOS+LTDA%2C+1145%2C+CENTRO+CIVICO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604660269; CNES 4660269; CNPJ 26581734000103; site oficial/redes não coletados nesta fonte
Lira Folegatti Medicos Associados Ltda,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"Clinica Medica Lira Folegatti Ltda, 38, Parque Monte Libano, Mogi Das Cruzes, Sp",(11) 4799-0399,,liraefolegatti@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Lira+Folegatti+Medicos+Associados+Ltda+CLINICA+MEDICA+LIRA+FOLEGATTI+LTDA%2C+38%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607514174; CNES 7514174; CNPJ 01611226000191; site oficial/redes não coletados nesta fonte
Lotus Clinica De Transicao Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Vitoria,"Lotus Clinica De Transicao Ltda, 208, Vila Vitoria, Mogi Das Cruzes, Sp",(11) 4797-4070,,financeiro@imcardiologia.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Lotus+Clinica+De+Transicao+Ltda+LOTUS+CLINICA+DE+TRANSICAO+LTDA%2C+208%2C+VILA+VITORIA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609457046; CNES 9457046; CNPJ 19181631000182; site oficial/redes não coletados nesta fonte
M Clinic Dermatologia Ltda,Saúde,Clínica,Mogi das Cruzes,Centro Civico,"M Clinic Dermatologia Ltda, 1145, Centro Civico, Mogi Das Cruzes, Sp",(11) 3062-8932,,mariabussade@mariabussade.com.br,,,,,https://www.google.com/maps/search/?api=1&query=M+Clinic+Dermatologia+Ltda+M+CLINIC+DERMATOLOGIA+LTDA%2C+1145%2C+CENTRO+CIVICO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604823451; CNES 4823451; CNPJ 53501998000174; site oficial/redes não coletados nesta fonte
Mariana Abbondanza Fisioterapia Especiliazada,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Mariana Abbondanza Fisioterapia Especializada Ltda, 269, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 4726-8490,,abbondanzafisioterapia@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Mariana+Abbondanza+Fisioterapia+Especiliazada+MARIANA+ABBONDANZA+FISIOTERAPIA+ESPECIALIZADA+LTDA%2C+269%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609694552; CNES 9694552; CNPJ 31889175000125; site oficial/redes não coletados nesta fonte
Marilia Moura Campos Odontologia,Saúde,Clínica,Mogi das Cruzes,Centro,"Campos Campos Clinica Odontologica Ltda, 1357, Centro, Mogi Das Cruzes, Sp",(11) 4798-1742,,mariliamouracampos@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Marilia+Moura+Campos+Odontologia+CAMPOS+CAMPOS+CLINICA+ODONTOLOGICA+LTDA%2C+1357%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607186134; CNES 7186134; CNPJ 13267728000126; site oficial/redes não coletados nesta fonte
Mater Clin Centro Especializado,Saúde,Clínica,Mogi das Cruzes,Centro,"Clinica De Servicos Medicos Especializado Da Mulher Ltda, 318, Centro, Mogi Das Cruzes, Sp",(11) 4798-9900,,materclincentroespecializado@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Mater+Clin+Centro+Especializado+CLINICA+DE+SERVICOS+MEDICOS+ESPECIALIZADO+DA+MULHER+LTDA%2C+318%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600776971; CNES 0776971; CNPJ 31112125000137; site oficial/redes não coletados nesta fonte
Medcor Medicina Do Coracao Araraquara Ss Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Medcor Medicina Do Coracao Araraquara Ss Ltda, 703, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 2598-9055,,medcor09@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Medcor+Medicina+Do+Coracao+Araraquara+Ss+Ltda+MEDCOR+MEDICINA+DO+CORACAO+ARARAQUARA+SS+LTDA%2C+703%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530605675723; CNES 5675723; CNPJ 72915507000186; site oficial/redes não coletados nesta fonte
Medfast Medicina E Saude Ltda,Saúde,Clínica,Mogi das Cruzes,Centro,"Medfast Medicina E Saude Ltda, 197, Centro, Mogi Das Cruzes, Sp",(11) 2378-5450,,consultasmedfast@yahoo.com,,,,,https://www.google.com/maps/search/?api=1&query=Medfast+Medicina+E+Saude+Ltda+MEDFAST+MEDICINA+E+SAUDE+LTDA%2C+197%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609637273; CNES 9637273; CNPJ 27790397000119; site oficial/redes não coletados nesta fonte
Medquest Medicina Diagnostica,Saúde,Clínica,Mogi das Cruzes,Centro,"Medcare Suzano Servicos Medicos Ltda, 1100, Centro, Mogi Das Cruzes, Sp",(11) 4742-3745,,saintnicholas@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Medquest+Medicina+Diagnostica+MEDCARE+SUZANO+SERVICOS+MEDICOS+LTDA%2C+1100%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607529449; CNES 7529449; CNPJ 01531867000306; site oficial/redes não coletados nesta fonte
Megafisio,Saúde,Clínica,Mogi das Cruzes,Vila Oliveira,"Salute Care Clinica De Fisioterapia E Bem Estar Ltda, 118, Vila Oliveira, Mogi Das Cruzes, Sp",(11) 4726-2641,,megaclin@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Megafisio+SALUTE+CARE+CLINICA+DE+FISIOTERAPIA+E+BEM+ESTAR+LTDA%2C+118%2C+VILA+OLIVEIRA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600895970; CNES 0895970; CNPJ 07658920000140; site oficial/redes não coletados nesta fonte
Melo Zambrana Assistencia Medica E Odontologica Ss Ltda Me,Saúde,Clínica,Mogi das Cruzes,Vila Oliveira,"Melo Zambrana Assistencia Medica E Odontologica S S Ltda, 812, Vila Oliveira, Mogi Das Cruzes, Sp",(11) 4725-1812,,m.ineszam@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Melo+Zambrana+Assistencia+Medica+E+Odontologica+Ss+Ltda+Me+MELO+ZAMBRANA+ASSISTENCIA+MEDICA+E+ODONTOLOGICA+S+S+LTDA%2C+812%2C+VILA+OLIVEIRA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607584652; CNES 7584652; CNPJ 58487562000191; site oficial/redes não coletados nesta fonte
Mendes Bittencourt Clinica Medica Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Mendes Bittencourt Clinica Medica Ltda, 703, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 3379-3494,,atendimento@contacty.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Mendes+Bittencourt+Clinica+Medica+Ltda+MENDES+BITTENCOURT+CLINICA+MEDICA+LTDA%2C+703%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604783557; CNES 4783557; CNPJ 39775491000188; site oficial/redes não coletados nesta fonte
Meta Medicina E Seguranca Do Trabalho S S Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Vitoria,"Meta Medicina E Seguranca Do Trabalho S S Ltda, 255, Vila Vitoria, Mogi Das Cruzes, Sp",(11) 4729-5505,,leandro@metamed.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Meta+Medicina+E+Seguranca+Do+Trabalho+S+S+Ltda+META+MEDICINA+E+SEGURANCA+DO+TRABALHO+S+S+LTDA%2C+255%2C+VILA+VITORIA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600712167; CNES 0712167; CNPJ 02283294000131; site oficial/redes não coletados nesta fonte
Mitran Assistencia Medica Ltda Me,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Mitran Assistencia Medica Ltda, 703, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 4727-4007,,atendimento@mrempresarial.com,,,,,https://www.google.com/maps/search/?api=1&query=Mitran+Assistencia+Medica+Ltda+Me+MITRAN+ASSISTENCIA+MEDICA+LTDA%2C+703%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607306431; CNES 7306431; CNPJ 08252188000177; site oficial/redes não coletados nesta fonte
Miyake Odontologia,Saúde,Clínica,Mogi das Cruzes,Centro,"Miyake Odontologia Ltda, 1318, Centro, Mogi Das Cruzes, Sp",(11) 4799-2149,,claudio.miyake@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Miyake+Odontologia+MIYAKE+ODONTOLOGIA+LTDA%2C+1318%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530605769604; CNES 5769604; CNPJ 03500533000120; site oficial/redes não coletados nesta fonte
Multimedice Saude E Medicina Do Trabalho Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Nancy,"Multimedice Saude E Medicina Do Trabalho Ltda, 57, Vila Nancy, Mogi Das Cruzes, Sp",(11) 4378-4888,,adm@multimedice.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Multimedice+Saude+E+Medicina+Do+Trabalho+Ltda+MULTIMEDICE+SAUDE+E+MEDICINA+DO+TRABALHO+LTDA%2C+57%2C+VILA+NANCY%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600758892; CNES 0758892; CNPJ 17969859000106; site oficial/redes não coletados nesta fonte
N E N Servicos Medicos Sociedade Simples Ltda,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"N E N Servicos Medicos Sociedade Simples Ltda, 35, Parque Monte Libano, Mogi Das Cruzes, Sp",(11) 4799-0111,,knippel@knippel.com.br,,,,,https://www.google.com/maps/search/?api=1&query=N+E+N+Servicos+Medicos+Sociedade+Simples+Ltda+N+E+N+SERVICOS+MEDICOS+SOCIEDADE+SIMPLES+LTDA%2C+35%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603224821; CNES 3224821; CNPJ 03042831000114; site oficial/redes não coletados nesta fonte
Nanaclin,Saúde,Clínica,Mogi das Cruzes,Centro,"Nanaclin Nucleo De Psicologia E Saude Ltda, 31, Centro, Mogi Das Cruzes, Sp",(11) 2815-0400,,soares.benedito@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Nanaclin+NANACLIN+NUCLEO+DE+PSICOLOGIA+E+SAUDE+LTDA%2C+31%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607197713; CNES 7197713; CNPJ 17095865000181; site oficial/redes não coletados nesta fonte
Nariclin Clinica De Otorrinolaringologia E Fonoaudiologia,Saúde,Clínica,Mogi das Cruzes,Parque M Libano,"Nariclin Clinica De Otorrinolaringologia E Fonoaudiologia, 220, Parque M Libano, Mogi Das Cruzes, Sp",(11) 4799-2440,,nariclin@terra.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Nariclin+Clinica+De+Otorrinolaringologia+E+Fonoaudiologia+NARICLIN+CLINICA+DE+OTORRINOLARINGOLOGIA+E+FONOAUDIOLOGIA%2C+220%2C+PARQUE+M+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603186547; CNES 3186547; CNPJ 03408400000129; site oficial/redes não coletados nesta fonte
Nc Psicologia Ltda Me,Saúde,Clínica,Mogi das Cruzes,Centro,"Nc Psicologia Ltda Me, 1605, Centro, Mogi Das Cruzes, Sp",38436576,,natalia.castanha@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Nc+Psicologia+Ltda+Me+NC+PSICOLOGIA+LTDA+ME%2C+1605%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607613504; CNES 7613504; CNPJ 18010203000124; site oficial/redes não coletados nesta fonte
New Life Laboratorio Medico De Patologia Clinica Ltda,Saúde,Clínica,Mogi das Cruzes,Centro,"New Life Laboratorio Medico De Patologia Clinica Ltda, 201, Centro, Mogi Das Cruzes, Sp",47274259,,newlife@newlifediagnostica.com.br,,,,,https://www.google.com/maps/search/?api=1&query=New+Life+Laboratorio+Medico+De+Patologia+Clinica+Ltda+NEW+LIFE+LABORATORIO+MEDICO+DE+PATOLOGIA+CLINICA+LTDA%2C+201%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530606551025; CNES 6551025; CNPJ 59643932000103; site oficial/redes não coletados nesta fonte
Nise Nucleo Em Saude Mental Ltda,Saúde,Clínica,Mogi das Cruzes,Centro,"Nise Nucleo Em Saude Mental Ltda, 230, Centro, Mogi Das Cruzes, Sp",(11) 4726-6251,,nisesaudemental@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Nise+Nucleo+Em+Saude+Mental+Ltda+NISE+NUCLEO+EM+SAUDE+MENTAL+LTDA%2C+230%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609767630; CNES 9767630; CNPJ 30733120000169; site oficial/redes não coletados nesta fonte
